x,y
38633,33649
37620,33549
35354,33565
33525,35580
30841,37533
28899,39722
27537,41656
24675,46696
46789,53317
70848,44971
68709,43723
66390,42016
65696,40098
64891,38096
62708,36281
60854,34986
58284,33710
56244,34093
53469,35178
50143,35676
46714,36316
42880,35442
40441,34880
38633,33649
